field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,initial_health_assessment,,text,Record ID,,,,,,,,y,,,,,
registration_time,initial_health_assessment,,text,Registration Check-in Time,,,datetime_mdy,,,,,y,,,,,@NOW @READONLY
first_name,initial_health_assessment,,text,First Name,,,,,,,,y,,,,,
last_name,initial_health_assessment,,text,Last name,,,,,,,,y,,,,,
mi,initial_health_assessment,,text,MI,,,,,,,,,,,,,
todays_date,initial_health_assessment,,text,Today's Date,,,date_mdy,,,,,y,,,,,@TODAY @READONLY
birthday,initial_health_assessment,,text,Date of Birth,,,date_mdy,,,,,y,,,,,
age,initial_health_assessment,,calc,Age,"rounddown( datediff([todays_date], [birthday], ""y"", ""mdy""), 0 )",,,,,,,,,,,,
sex,initial_health_assessment,,radio,Biological Sex at Birth,"1, Male | 2, Female",,,,,,,y,,,,,
different_sex,initial_health_assessment,,checkbox,Check if this person identifies as a different gender.,"1,",,,,,,[age] > 1000,,,,,,
specify_gender,initial_health_assessment,,text,Please specify your preferred gender:,,,,,,,[different_sex(1)] = '1' AND [age] > 1000,y,,,,,
phone_number,initial_health_assessment,,text,Phone Number,,,,,,,,y,,,,,
email,initial_health_assessment,,text,Email,,,,,,,,,,,,,
street,initial_health_assessment,,text,Street,,,,,,,,y,,,,,
apartment,initial_health_assessment,,text,Apartment,,,,,,,,,,,,,
city,initial_health_assessment,,text,City,,,,,,,,y,,,,,
state,initial_health_assessment,,dropdown,State,"1, Alabama | 2, Alaska | 3, Arizona | 4, Arkansas | 5, California | 6, Colorado | 7, Connecticut | 8, Delaware | 9, District of Columbia | 10, Florida | 11, Georgia | 12, Hawaii | 13, Idaho | 14, Illinois | 15, Indiana | 16, Iowa | 17, Kansas | 18, Kentucky | 19, Louisiana | 20, Maine | 21, Maryland | 22, Massachusetts | 23, Michigan | 24, Minnesota | 25, Mississippi | 26, Missouri | 27, Montana | 28, Nebraska | 29, Nevada | 30, New Hampshire | 31, New Jersey | 32, New Mexico | 33, New York | 34, North Carolina | 35, North Dakota | 36, Ohio | 37, Oklahoma | 38, Oregon | 39, Pennsylvania | 40, Rhode Island | 41, South Carolina | 42, South Dakota | 43, Tennessee | 44, Texas | 45, Utah | 46, Vermont | 47, Virginia | 48, Washington | 49, West Virginia | 50, Wisconsin | 51, Wyoming? | 52, Other",,,,,,,y,,,,,
zip_code,initial_health_assessment,,text,Zip Code,,,,,,,,y,,,,,
country_origin,initial_health_assessment,,text,Country of Origin,,,,,,,,y,,,,,
race,initial_health_assessment,,radio,Which one of the following would you say is your race/ethnicity?,"1, White (Non-Hispanic) | 2, White (Hispanic) | 3, Black (African American) | 4, Black (Caribbean/Haitian) | 5, Black (Hispanic) | 6, Asian/Pacific Islander | 7, Native American | 8, Other | 9, Prefer not to answer",,,,,,,y,,,,,
race_other,initial_health_assessment,,text,Race (Other),,,,,,,[race] = '8',y,,,,,
language,initial_health_assessment,,dropdown,Language,"1, English | 2, Spanish | 3, Creole | 4, Other",,,,,,,y,,,,,
other_language,initial_health_assessment,,text,Other,,,,,,,[language] = '4',y,,,,,
fair_site,initial_health_assessment,,dropdown,Health Fair Site:,"1, Little Haiti | 2, Hialeah | 3, South Dade | 4, Liberty City | 5, Jack and Jill | 6, Marathon | 7, Big Pine Key | 8, Key West | 9, Light of the World | 10, West Kendall | 11, Pompano | 12, Olinda Park",,autocomplete,,,,,y,,,,,
how_did_you_hear_about_the,initial_health_assessment,,checkbox,"How did you hear about the health fair this year?
(pick all that apply)","1, Radio | 2, Mail | 3, Community Flyer | 4, Flyer from school | 5, Social Media | 6, Former Patient | 7, Religious Institution | 8, Word of Mouth | 9, Other",,,,,,,y,,,,,
pr,initial_health_assessment,,text,"Please specify the details of the form of advertisement. 

For example if ""social media"", specify whatsapp, facebook, instagram, etc. If ""radio"", specify radio station like 101.5 Lite FM. If ""school"", specify school name like Coral Gables High School, etc.",,,,,,,[how_did_you_hear_about_the(7)] = '1' or [how_did_you_hear_about_the(6)] = '1' or [how_did_you_hear_about_the(5)] = '1' or [how_did_you_hear_about_the(4)] = '1' or [how_did_you_hear_about_the(3)] = '1' or [how_did_you_hear_about_the(2)] = '1' or [how_did_you_hear_about_the(1)] = '1' or [how_did_you_hear_about_the(8)] = '1',y,,,,,
how_did_hear_other,initial_health_assessment,,text,Other,,,,,,,[how_did_you_hear_about_the(9)] = '1',y,,,,,
years_of_formal_education,initial_health_assessment,,radio,Years of Formal Education (may prefer not to answer if uncomfortable),"1, High school/GED | 2, Vocational training | 3, Associates degree/some years in university | 4, Graduated from university (Bachelor's degree) | 5, Master's degree | 6, Doctorate degree | 7, No response",,,,,,,y,,,,,
booklet_reminder,initial_health_assessment,,checkbox,"REMINDER 

Please fill out the patient's booklet with their name and MRN. 

Please give the patient a wristband with their MRN filled out. ","1, Done?",,,,,,,,,,,,
preregistered,initial_health_assessment,,yesno,"Is this patient being preregistered?

If yes, don't check ""Attending Fair Today"" and leave form as incomplete.",,,,,,,,y,,,,,"@DEFAULT=""0"""
please_check_me,initial_health_assessment,,checkbox,Attending Fair Today,"1, Yes",,,,,,,y,,,,,@DEFAULT='1'
reminder_iha,initial_health_assessment,,descriptive,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline; color: #ff0000;"">Please mark page as COMPLETE when data is filled, so it can be used for future stations</span></p></div>",,,,,,,,,,,,,
consent_to_treatment,consent_to_treatment,,descriptive,"1. I, the undersigned patient or [first_name] [mi] [last_name] consent to undergo all necessary tests, treatments and other procedures in the course of screening for health
problems by the staff and students of the University of Miami School of Medicine Mitchell Wolfson, Sr. Department of Community Service (UMMSM DOCS).

2. I further understand that this is a teaching community health fair, and that training doctors and others, is one of the activities of the DOCS, and I agree to cooperate to the best of my ability.

3. I am aware that the practice of medicine is not an exact science and I acknowledge that no guarantees have been made to me as to the results of diagnoses, examinations or treatments in the fairs.

4. I hereby authorize the staff of the UMSM DOCS to take such still photographs, motion pictures, television transmission and/or videotaped recording for educational and evidentiary purposes as they may wish. Any such still or video images used for medical, scientific,. research, or educational purposes, will not reveal, where possible, my identity through the image itself or the accompanying descriptive text.

5. I hereby authorize the UMSM DOCS to retain, preserve and/or use for scientific research, therapeutic, commercial, or teaching purposes, or dispose of at their convenience, any specimens or tissues taken from my body during my screenings.

6. I hereby grant access to my medical records to the senior staff of UMSM DOCS for the specific purpose of evaluating the ongoing quality of care rendered by their staff. I further authorize the senior staff to use portions of my medical records as necessary for purposes of educating their staff, provided that the records will not be identified as pertaining to me specifically without my expressed permission.

7. I hereby grant to members of the DOCS staff and other medical researchers, access to my medical records for purposes of bona fide medical research. I further authorize them to use my medical records and results for bona fide medical research. However, my records may not be identified as pertaining to me specifically, without my expressed permission.

I, the undersigned, hereby request that health-screening tests be performed for me by the organizations participating in the health fair.

I hereby release the University of Miami School of Medicine, the contract laboratory and all other participating organizations from any and all liability arising from any incident, act or omission which arises out of my participation in the health fair~ including blood drawing or other examinations/tests, or from the transmittal or use of the data there from derived.",,,,,,,,,,,,,
