field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
pt_sum10,bone_density,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Name:</span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;""> </span><span style=""font-weight: normal;"">[last_name] , [first_name]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">DOB: </span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080; font-weight: 400;"">[birthday]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Age:</span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;""> </span><span style=""font-weight: normal;"">[age]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Record_id: </span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080; font-weight: 400;"">[record_id]</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
bone_density_time_stamp,bone_density,,text,Bone Density Check-In Time,,,datetime_mdy,,,,,y,,,,,@NOW @READONLY
hx_of_fracture,bone_density,,yesno,History of hip or vertebral fracture?,,,,,,,,y,,,,,
hipvert_fracture,bone_density,,yesno,Have you ever had a hip or vertebral fracture?,,,,,,,[age] > 1000,y,,,,,
t_score,bone_density,,text,T-Score,,,number,,,,,y,,,,,
bone_density_counsel,bone_density,,yesno,"Patient meets criteria for osteopenia, provide bone density counseling at Final Doctor Evaluation Station

T-score between -1.5 to -2.5",,,,,,,[t_score] <= -1.5 and [t_score] > -2.5,y,,,,,@DEFAULT='1'
flag_blood_bd,bone_density,,yesno,"Patient meets high risk criteria for osteoporosis or vertebral/hip fracture, assign a Patient Navigator

Select if T-score less than -2.5 and/or history of vertebral or hip fracture",,,,,,,[t_score] <= -2.5 or [hx_of_fracture] = '1',y,,,,,@DEFAULT='1'
reason_for_referral_bd,bone_density,,notes,Comments for counseling at FDE,,,,,,,,y,,,,,
bone_density_counseling,bone_density,,notes,Comment,,,,,,,[age] > 1000,,,,,,
bone_density_checkout,bone_density,,text,"Bone Density Checkout Time

Please click ""Now"".",,,datetime_mdy,,,,,y,,,,,
medit_request,bone_density,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #ff0000;""><em>Any problems with this form?</em></span> Please submit a MedIT request at the link: <a style=""font-family: -webkit-standard; font-weight: normal;"" href=""https://docs.google.com/forms/d/e/1FAIpQLSdlA2Vc8iVb2AtcE_hnlcysQ5YdvqkoaK5ZV64nJn-PSK3spg/viewform"">https://docs.google.com/forms/d/e/1FAIpQLSdlA2Vc8iVb2AtcE_hnlcysQ5YdvqkoaK5ZV64nJn-PSK3spg/viewform</a></p></div>",,,,,,,,,,,,,
