field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
callbacks_volunteer_names,callbacks,,notes,Volunteer Names,,,,,,,,,,,,,
first_contact_attempt_date,callbacks,,text,First Contact Attempt Date,,,date_mdy,,,,,,,,,,
first_contact_attempt,callbacks,,dropdown,First Contact Attempt,"1, Spoke to pt and counseled | 2, Spoke to pt who already has f/u appt | 3, Spoke to pt and referred to clinic | 4, Pt not interested in f/u | 5, Pt will call back | 6, Left message with family member | 7, Left voicemail | 8, Number not in service",,autocomplete,,,,,,,,,,
second_contact_attempt_dat,callbacks,,text,Second Contact Attempt Date,,,date_mdy,,,,,,,,,,
second_contact_attempt,callbacks,,dropdown,Second Contact Attempt,"1, Spoke to pt and counseled | 2, Spoke to pt who already has f/u appt | 3, Spoke to pt and referred to clinic | 4, Pt not interested in f/u | 5, Pt will call back | 6, Left message with family member | 7, Left voicemail | 8, Number not in service",,autocomplete,,,,,,,,,,
third_contact_attempt_date,callbacks,,text,Third Contact Attempt Date,,,date_mdy,,,,,,,,,,
third_contact_attempt,callbacks,,dropdown,Third Contact Attempt,"1, Spoke to pt and counseled | 2, Spoke to pt who already has f/u appt | 3, Spoke to pt and referred to clinic | 4, Pt not interested in f/u | 5, Pt will call back | 6, Left message with family member | 7, Left voicemail | 8, Number not in service",,autocomplete,,,,,,,,,,
labs_volunteer_notes,callbacks,,notes,Volunteer Notes,,,,,,,,,,,,,
high_risk_labs,callbacks,,yesno,High Risk?,,,,,,,,,,,,,
lab_physician_notes,callbacks,,notes,Physician Notes,,,,,,,[high_risk_labs] = '1',,,,,,
