field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
pt_sum4,emergency_preparedness,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Name:</span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;""> </span><span style=""font-weight: normal;"">[last_name] , [first_name]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">DOB: </span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080; font-weight: 400;"">[birthday]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Age:</span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;""> </span><span style=""font-weight: normal;"">[age]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Record_id: </span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080; font-weight: 400;"">[record_id]</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
ep,emergency_preparedness,,descriptive,Emergency Preparedness,,,,,,,,,,,,,
know_cpr,emergency_preparedness,,yesno,"<div class=""rich-text-field-label""><p>Do you know how to perform CPR?</p></div>",,,,,,,,y,,,,,
triage_pediatric_cpr,emergency_preparedness,,yesno,Are you interested in learning CPR today? ,,,,,,,,y,,,,,
hurricane,emergency_preparedness,,yesno,Are you interested in learning how to prepare for a hurricane?,,,,,,,,y,,,,,
iv_drug_use,emergency_preparedness,,radio,Have you ever used IV or intranasal drugs?,"1, IV drug use | 2, Intranasal drug use | 0, No | 3, Prefer not to Answer",,,,,,[age] > 1000,y,,,,,
iv_intranasal,emergency_preparedness,,radio,"<div class=""rich-text-field-label""><p>Have you ever used IV or intranasal drugs?</p></div>","1, Yes | 0, No | 2, Prefer not to answer",,,,,,,y,,,,,
overdose,emergency_preparedness,,radio,Are you interested in learning how to prevent IV/intranasal overdoses?,"1, Yes | 0, No | 2, Prefer not to answer",,,,,,,y,,,,,
recreational_drug_use,emergency_preparedness,,radio,Did you use any recreational drugs in the past 6 months?,"1, Yes | 0, No | 2, Prefer not to answer",,,,,,,y,,,,,
which_drugs,emergency_preparedness,,text,"If yes, which drugs did you use?",,,,,,,[recreational_drug_use] = '1',y,,,,,
own_firearm,emergency_preparedness,,radio,"<div class=""rich-text-field-label""><p>Do you or a family member currently own a firearm?</p></div>","1, Yes | 0, No | 2, Prefer not to answer",,,,,,,y,,,,,
firearm,emergency_preparedness,,yesno,Are you interested in learning about firearm safety?,,,,,,,,y,,,,,
smokedetectors,emergency_preparedness,,yesno,Do you have smoke detectors in your home?,,,,,,,[age] > 1000,y,,,,,
working_smoke,emergency_preparedness,,yesno,"<div class=""rich-text-field-label""><p>Do you currently have a working smoke detector (that you have recently tested) in your home?</p></div>",,,,,,,,y,,,,,
youth,emergency_preparedness,,yesno,"<div class=""rich-text-field-label""><p>Do you have anyone under the age of 18 living/or frequently visiting your home?</p></div>",,,,,,,,y,,,,,
poison,emergency_preparedness,,yesno,"<div class=""rich-text-field-label""><p>Are you interested in learning more about how to protect you and your family members from accidental poisons?</p></div>",,,,,,,,y,,,,,
patient_education,emergency_preparedness,,checkbox,"<div class=""rich-text-field-label""><p>Patient education (check all that apply)?</p></div>","1, CPR | 2, Hurricane Preparedness | 3, IV/Intranasal Drug Use | 4, Firearm Safety | 5, Home fire safety | 6, Poison Control",,,,,,,y,,,,,
gun_lock,emergency_preparedness,,yesno,"<div class=""rich-text-field-label""><p>Did patient receive gun lock?</p></div>",,,,,,,[firearm] = '1',y,,,,,
free_detector,emergency_preparedness,,yesno,"<div class=""rich-text-field-label""><p>Did the patient sign up to receive a free smoke detector?</p></div>",,,,,,,,y,,,,,
