field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
pt_sum,general_questions,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Name:</span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;""> </span><span style=""font-weight: normal;"">[last_name] , [first_name]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">DOB: </span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080; font-weight: 400;"">[birthday]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Age:</span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;""> </span><span style=""font-weight: normal;"">[age]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Record_id: </span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080; font-weight: 400;"">[record_id]</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
chief_complaint,general_questions,,text,What brings you to the fair today?,,,,,,,,y,,,,,
general_health,general_questions,,radio,Would you say your general health is:,"1, Excellent | 2, Very Good | 3, Good | 4, Fair | 5, Poor",,,,,,,y,,,,,
health_insurance,general_questions,,dropdown,"Do you have any kind of health care coverage? Regardless of your insurance or citizenship status, we offer care to everyone. We offer our services to everyone. 

<p style=""font-size:20px"">Record what they say, don't provide answer choices. </p>","0, Medicaid | 1, Medicare | 2, Private Insurance | 3, Jackson Card | 4, Uninsured | 5, Other | 6, Refused | 7, Don't Know",,,,,,,y,,,,,
pvt_insurance,general_questions,,text,"<div class=""rich-text-field-label""><p>What is the name of your health insurance provider?</p></div>",,,,,,,[health_insurance] = '2',,,,,,
other_insurance,general_questions,,text,"If ""Other"" chosen, please state.",,,,,,,[health_insurance] = '5',,,,,,
living_miami_dade,general_questions,,radio,"How long have you lived in Miami-Dade County?

(If the patient has lived in Miami-Dade county for 3 or more months, they may be eligible for a Jackson card, encourage the patient to ask the FDE volunteer about this financial assistance program.)","1, 0 - 3 months | 2, 3 or months | 3, Does not live in Miami-Dade County",,,,,,[health_insurance] = '4' or [health_insurance] = '5' or [health_insurance] = '6' or [health_insurance] = '7' or [health_insurance] = '8',y,,,,,
primary_care_last_year,general_questions,,yesno,Do you have a primary care doctor?,,,,,,,,y,,,,,
specialty,general_questions,,dropdown,"If yes, what specialty is your PCP?
","1, Emergency Medicine | 2, Family Medicine | 3, General Surgery | 4, Geriatrics | 5, Internal Medicine | 6, Medicine-Pediatrics | 7, Obstetrics & Gynecology | 8, Pediatrics | 9, Psychiatry | 10, Urgent Care | 11, Other",,,,,,[primary_care_last_year] = '1',y,,,,,
other_pcp,general_questions,,text,"If other, please specify",,,,,,,[specialty] = '11',y,,,,,
do_you_have_one_person_you,general_questions,,radio,When was the last time you saw your primary care doctor?,"0, < 1 year | 1, 1-3 years | 2, 4-5 years | 3, 6-10 years | 4, >10 years",,,,,,[primary_care_last_year] = '1',y,,,,,
do_you_smoke,general_questions,,radio,What is your smoking status?,"1, Yes | 0, No | 3, Former",,,,,,,y,,,,,
smoking,general_questions,,yesno,"<div class=""rich-text-field-label""><p>Have you smoked at least 100 cigarettes in your entire life? (100 cigarettes=5 packs)</p></div>",,,,,,,[do_you_smoke] = '1' or [do_you_smoke] = '3',y,,,,,
how_many_cigarettes,general_questions,,text,"<div class=""rich-text-field-label""><p>How many cigarettes do/did you smoke per day?</p></div>",,,,,,,[do_you_smoke] = '1' or [do_you_smoke] = '3',y,,,,,
smoking_years,general_questions,,text,"<div class=""rich-text-field-label""><p>Number of smoking years (round to nearest whole number)</p></div>",,,,,,,[do_you_smoke] = '1' or [do_you_smoke] = '3',y,,,,,
pack_years,general_questions,,calc,"<div class=""rich-text-field-label""><p>Smoking Pack Years</p></div>",([how_many_cigarettes]/20)*[smoking_years],,,,,,[do_you_smoke] = '1' or [do_you_smoke] = '3',y,,,,,
