field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,initial_health_assessment,,text,Record ID,,,,,,,,y,,,,,
registration_time,initial_health_assessment,,text,Registration Check-in Time,,,datetime_mdy,,,,,y,,,,,@NOW
first_name,initial_health_assessment,,text,First Name,,,,,,,,y,,,,,
last_name,initial_health_assessment,,text,Last name,,,,,,,,y,,,,,
mi,initial_health_assessment,,text,MI,,,,,,,,,,,,,
todays_date,initial_health_assessment,,text,Today's Date,,,date_mdy,,,,,y,,,,,@TODAY @READONLY
birthday,initial_health_assessment,,text,Date of Birth,,,date_mdy,,,,,y,,,,,
age,initial_health_assessment,,calc,Age,"rounddown( datediff([todays_date], [birthday], ""y"", ""mdy""), 0 )",,,,,,,,,,,,
sex,initial_health_assessment,,radio,Biological Sex at Birth,"1, Male | 2, Female",,,,,,,y,,,,,
different_sex,initial_health_assessment,,checkbox,Check if this person identifies as a different gender.,"1,",,,,,,[age] > 1000,,,,,,
specify_gender,initial_health_assessment,,text,Please specify your preferred gender:,,,,,,,[different_sex(1)] = '1' AND [age] > 1000,y,,,,,
phone_number,initial_health_assessment,,text,Phone Number,,,,,,,,y,,,,,
email,initial_health_assessment,,text,Email,,,,,,,,,,,,,
street,initial_health_assessment,,text,Street,,,,,,,,y,,,,,
apartment,initial_health_assessment,,text,Apartment,,,,,,,,,,,,,
city,initial_health_assessment,,text,City,,,,,,,,y,,,,,
