field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
pt_sum6,mens_health,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Name:</span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;""> </span><span style=""font-weight: normal;"">[last_name] , [first_name]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">DOB: </span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080; font-weight: 400;"">[birthday]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Age:</span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;""> </span><span style=""font-weight: normal;"">[age]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Record_id: </span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080; font-weight: 400;"">[record_id]</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
male_exam_time_stamp,mens_health,,text,Male Exam Check-In Time,,,datetime_mdy,,,,,y,,,,,@NOW @READONLY
gu_complaint_male,mens_health,,radio,"<div class=""rich-text-field-label""><p>Any genitourinary complaints today? <span style=""font-weight: normal;"">(Ask the patient if he is experiencing pain with urination, blood in the urine, penile discharge, nocturia, or post-void dribbling)</span></p></div>","1, Yes | 2, No",,,,,,,,,,,,
gu_complaints_m_choose,mens_health,,checkbox,"<div class=""rich-text-field-label""><p>Choose any/all of the genitoruniary symptoms the patient reports:</p></div>","1, Dysuria | 2, Hematuria | 3, Penile discharge | 4, Nocturia | 5, Post-void dribbling | 7, Frequency | 8, Urgency | 6, Other",,,,,,[gu_complaint_male] = '1',,,,,,
gu_complaint_other,mens_health,,text,"<div class=""rich-text-field-label""><p>Explain other genitourinary symptom</p></div>",,,,,,,"[gu_complaints_m_choose(6)] = ""1""",,,,,,
prostate_screening,mens_health,,yesno,"<div class=""rich-text-field-label""><p>Does the patient wish to undergo a digital rectal exam today? <span style=""font-weight: normal;"">(be sure to counsel the patient on the risks and benefits of prostate cancer screening)</span></p></div>",,,,,,,[age] >=55 and [age] <=69,,,,,,
rectal_exam,mens_health,,notes,Rectal Exam,,,,,,,[prostate_screening] = '1',y,,,,,
gu_exam,mens_health,,notes,Genitourinary Exam,,,,,,,[age] = '9000',y,,,,,
male_partner_violence,mens_health,,radio,Intimate Partner Violence Screen,"1, Positive | 2, Negative | 3, Not Screened",,,,,,,y,,,,,
partner_violence_details_m,mens_health,,notes,Intimate Partner Violence Screen (Details),,,,,,,[male_partner_violence] = '1',y,,,,,
physician_name_me,mens_health,,text,Physician Name,,,,,,,,y,,,,,
male_high_risk,mens_health,,yesno,"Patient meets high risk criteria, assign a Patient Navigator

Select if lesions suspicious for malignancy or similar risk per physician recommendation",,,,,,,,y,,,,,
reason_for_referal_me,mens_health,,notes,Comments for counseling at FDE,,,,,,,,y,,,,,
male_exam_check_out_time,mens_health,,text,"Male Exam Check-Out Time

Please click ""Now"".",,,datetime_mdy,,,,,y,,,,,
