field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
pt_sum17,ophthalmology,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Name:</span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;""> </span><span style=""font-weight: normal;"">[last_name] , [first_name]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">DOB: </span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080; font-weight: 400;"">[birthday]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Age:</span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;""> </span><span style=""font-weight: normal;"">[age]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Record_id: </span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080; font-weight: 400;"">[record_id]</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
opthalmology_time_stamp,ophthalmology,,text,Ophthalmology Check-In Time,,,datetime_mdy,,,,,y,,,,,@NOW @READONLY
do_you_currently_see_an_ey,ophthalmology,,yesno,Do you currently see an eye doctor?,,,,,,,,,,,,,
what_year_was_your_last_ey,ophthalmology,,text,What year was your last eye exam?,,"Enter ""Never"" for never",,,,,,,,,,,
have_you_been_diagnosed_as,ophthalmology,,yesno,Have you been diagnosed as a glaucoma suspect?,,,,,,,,,,,,,
does_anyone_in_your_family,ophthalmology,,yesno,Does anyone in your family have glaucoma?,,,,,,,,,,,,,
have_you_been_diagnosed_wi,ophthalmology,,yesno,Have you been diagnosed with glaucoma?,,,,,,,,,,,,,
how_long_have_you_had_glau,ophthalmology,,radio,How long have you had glaucoma?,"1, < 1 year | 2, 1-5 years | 3, 5-10 years | 4, >10 years",,,,,,[have_you_been_diagnosed_wi] = '1',,,,,,
take_insulin,ophthalmology,,yesno,Earlier in the fair you mentioned that you have diabetes. Do you take insulin?,,,,,,,[hx_of_diabetes] = '1',,,,,,
years_taking_insulin,ophthalmology,,radio,How many years have you been taking insulin?,"1, 0-5 | 2, 5-10 | 3, 10-20 | 4, >20",,,,,,[take_insulin] = '1',,,,,,
meds_for_htn,ophthalmology,,descriptive,"Autofilled from previous question:

Does the patient currently take HTN medication?: [htn_medication]",,,,,,,,,,,,,
years_for_htn,ophthalmology,,radio,How many years have you been treated for your high blood pressure?,"1, 0-5 | 2, 5-10 | 3, 10-20 | 4, >20",,,,,,[htn_medication] = '1',,,,,,
blood_pressure_today,ophthalmology,,descriptive,"Blood Pressure today:

Right arm: [blood_pressure_right_sys]/[blood_pressure_right_di]
Left Arm: [blood_pressure_left_sys]/[blood_pressure_left_di]",,,,,,,,,,,,,
correction,ophthalmology,,radio,Correction,"1, Uncorrected | 2, Corrected",,,,,,,y,,,,,
right_acuity_far_vision,ophthalmology,,dropdown,Right Acuity - Far Vision,"1, 20/20 | 2, 20/20 -1 | 3, 20/20 -2 | 4, 20/25 +2 | 5, 20/25 +1 | 6, 20/25 | 7, 20/25 -1 | 8, 20/25 -2 | 9, 20/30 +2 | 10, 20/30 +1 | 11, 20/30 | 12, 20/30 -1 | 13, 20/30 -2 | 14, 20/40 +2 | 15, 20/40 +1 | 16, 20/40 | 17, 20/40 -1 | 18, 20/40 -2 | 19, 20/50 +2 | 20, 20/50 +1 | 21, 20/50 | 22, 20/50 -1 | 23, 20/50 -2 | 24, 20/60 +2 | 25, 20/60 +1 | 26, 20/60 | 27, 20/60 -1 | 28, 20/60 -2 | 29, 20/70 +2 | 30, 20/70 +1 | 31, 20/70 | 32, 20/70 -1 | 33, 20/70 -2 | 34, 20/80 +2 | 35, 20/80 +1 | 36, 20/80 | 37, 20/90 +2 | 38, 20/90 +1 | 39, 20/90 | 40, 20/100 | 41, 20/200",,autocomplete,,,,,y,,,,,
right_acuity_far_vision_pi,ophthalmology,,dropdown,Right Acuity - Far Vision (Pinhole),"1, 20/20 | 2, 20/20 -1 | 3, 20/20 -2 | 4, 20/25 +2 | 5, 20/25 +1 | 6, 20/25 | 7, 20/25 -1 | 8, 20/25 -2 | 9, 20/30 +2 | 10, 20/30 +1 | 11, 20/30 | 12, 20/30 -1 | 13, 20/30 -2 | 14, 20/40 +2 | 15, 20/40 +1 | 16, 20/40 | 17, 20/40 -1 | 18, 20/40 -2 | 19, 20/50 +2 | 20, 20/50 +1 | 21, 20/50 | 22, 20/50 -1 | 23, 20/50 -2 | 24, 20/60 +2 | 25, 20/60 +1 | 26, 20/60 | 27, 20/60 -1 | 28, 20/60 -2 | 29, 20/70 +2 | 30, 20/70 +1 | 31, 20/70 | 32, 20/70 -1 | 33, 20/70 -2 | 34, 20/80 +2 | 35, 20/80 +1 | 36, 20/80 | 37, 20/90 +2 | 38, 20/90 +1 | 39, 20/90 | 40, 20/100 | 41, 20/200",,autocomplete,,,,,y,,,,,
left_acuity_far_vision,ophthalmology,,dropdown,Left Acuity - Far Vision,"1, 20/20 | 2, 20/20 -1 | 3, 20/20 -2 | 4, 20/25 +2 | 5, 20/25 +1 | 6, 20/25 | 7, 20/25 -1 | 8, 20/25 -2 | 9, 20/30 +2 | 10, 20/30 +1 | 11, 20/30 | 12, 20/30 -1 | 13, 20/30 -2 | 14, 20/40 +2 | 15, 20/40 +1 | 16, 20/40 | 17, 20/40 -1 | 18, 20/40 -2 | 19, 20/50 +2 | 20, 20/50 +1 | 21, 20/50 | 22, 20/50 -1 | 23, 20/50 -2 | 24, 20/60 +2 | 25, 20/60 +1 | 26, 20/60 | 27, 20/60 -1 | 28, 20/60 -2 | 29, 20/70 +2 | 30, 20/70 +1 | 31, 20/70 | 32, 20/70 -1 | 33, 20/70 -2 | 34, 20/80 +2 | 35, 20/80 +1 | 36, 20/80 | 37, 20/90 +2 | 38, 20/90 +1 | 39, 20/90 | 40, 20/100 | 41, 20/200",,autocomplete,,,,,y,,,,,
