field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
patient_nav_table,patient_navigation,,descriptive,"<table border=""1"" style=""border-collapse: collapse; border: 1px solid black;""><thead><th colspan=""5"" style=""padding: 4px; background: lightgray; text-align: center; font-weight: bold; vertical-align: middle;""> Name: [last_name], [first_name] [mi] 
 Age: [age] 
 Gender: [sex]
 Language: [language] </th></thead><tbody><tr><td style=""padding: 4px;"">Seen PCP in last year?</td><td style=""padding: 4px;"">[primary_care_last_year]</td><td style=""padding: 4px;""></td><td style=""padding: 4px;"">SBP (R)</td><td style=""padding: 4px;"">[blood_pressure_right_sys]</td></tr><tr><td style=""padding: 4px;"">Do you have a PCP?</td><td style=""padding: 4px;"">[do_you_have_one_person_you]</td><td style=""padding: 4px;""></td><td style=""padding: 4px;"">DBP (R)</td><td style=""padding: 4px;"">[blood_pressure_right_di]</td></tr><tr><td style=""padding: 4px;"">Smoker?</td><td style=""padding: 4px;"">[do_you_smoke]</td><td style=""padding: 4px;""></td><td style=""padding: 4px;"">SBP (L)</td><td style=""padding: 4px;"">[blood_pressure_left_sys]</td></tr><tr><td style=""padding: 4px;"">Alcohol use >5/day?</td><td style=""padding: 4px;"">[alcohol_general]</td><td style=""padding: 4px;""></td><td style=""padding: 4px;"">DBP (L)</td><td style=""padding: 4px;"">[blood_pressure_left_di]</td></tr><tr><td style=""padding: 4px;"">IVDU or intranasal?</td><td style=""padding: 4px;"">[iv_drug_use]</td><td style=""padding: 4px;""></td><td style=""padding: 4px;"">BMI</td><td style=""padding: 4px;"">[bmi]</td></tr><tr><td style=""padding: 4px;"">Drugs in last month?</td><td style=""padding: 4px;"">[recreational_drug_use]</td><td style=""padding: 4px;""></td><td style=""padding: 4px;"">ASCVD Score</td><td style=""padding: 4px;"">[ascvd_calc]</td></tr><tr><td style=""padding: 4px;""></td><td style=""padding: 4px;""></td><td style=""padding: 4px;""></td><td style=""padding: 4px;"">Glucose</td><td style=""padding: 4px;"">[fasting_glucose]</td></tr><tr><td style=""padding: 4px;"">>3 years since pap?</td><td style=""padding: 4px;"">[year_pap]</td><td style=""padding: 4px;""></td><td style=""padding: 4px;"">Bone Density Score</td><td style=""padding: 4px;"">[t_score]</td></tr><tr><td style=""padding: 4px;"">Ever abnormal pap?</td><td style=""padding: 4px;"">[abnormal_pap]</td><td style=""padding: 4px;""></td><td style=""padding: 4px;""></td><td style=""padding: 4px;""></td></tr><tr><td style=""padding: 4px;""></td><td style=""padding: 4px;""></td><td style=""padding: 4px;""></td><td style=""padding: 4px;"">HIV results</td><td style=""padding: 4px;"">[hiv_screen_results]</td></tr><tr><td style=""padding: 4px;"">Family hx CRC?</td><td style=""padding: 4px;"">[familyhx_crc]</td><td style=""padding: 4px;""></td><td style=""padding: 4px;"">Hep C results</td><td style=""padding: 4px;"">[hepc_screen_result]</td></tr><tr><td style=""padding: 4px;"">Who in family?</td><td style=""padding: 4px;"">[how_are_you_related_to_thi]</td><td style=""padding: 4px;""></td><td style=""padding: 4px;""></td><td style=""padding: 4px;""></td></tr><tr><td style=""padding: 4px;"">Ever screened for CRC?</td><td style=""padding: 4px;"">[onehave_you_ever_been_screene]</td><td style=""padding: 4px;""></td><td style=""padding: 4px;""></td><td style=""padding: 4px;""></td></tr><tr><td style=""padding: 4px;"">Ever abnormal CRC screen?</td><td style=""padding: 4px;"">[how_long_ago_was_this]</td><td style=""padding: 4px;""></td><td style=""padding: 4px;""></td><td style=""padding: 4px;""></td></tr><tr><td style=""padding: 4px;"">Blood in stool last 6 mo?</td><td style=""padding: 4px;"">[blood_in_stool_crc]</td><td style=""padding: 4px;""></td><td style=""padding: 4px;""></td><td style=""padding: 4px;""></td></tr></tbody></table>",,,,,,,,,,,,,
name_of_patient_navigator,patient_navigation,,text,Name of Patient Navigator,,,,,,,,,,,,,
primary_reason_for_referra,patient_navigation,,dropdown,Primary reason for referral,"1, Blood pressure >=160 mmHg (systolic) | 2, Blood pressure >=100 mmHg (diastolic) | 3, Any blood glucose >=200 mg/dL | 4, ASCVD score >= 20% | 5, Ophthalmology: ""Glaucoma consultation"" and ""ophthalmic consultation"" are high risk; | 6, findings suggestive of risk | 7, Dermatology: lesions suspicious for malignancy or similar risk per the physician's recommendation | 8, Bone Density: Postmenopausal woman with a T-score < -2.5 | 9, Fail an objective test performed by PT AND (hx of 2 falls OR a hx of 1 fall with an injury) | 10, Mental Health: any failed test or positive screen (though not all positive screens will be high risk - this is based on | 11, Dental/-ENT: severe or concerning finding requiring urgent follow up | 12, Septin9 or FIT test positive (post-fair) | 13, Fulfills high risk criteria for CRC (eg. Positive family history, noticed blood in stool recently) | 14, HIV screening result (positive) | 15, Female exam: positive pregnancy/needs prenatal care, breast mass felt on exam, high suspicion for infection, any other | 16, Male exam: lesions suspicious for malignancy or similar risk per the physician's recommendation | 17, Positive Hep C | 18, BMI >=40 | 19, Other",,,,,,,,,,,,
other,patient_navigation,,text,Other,,,,,,,[primary_reason_for_referra] = '19',,,,,,
secondary_reason_for_refer,patient_navigation,,dropdown,Secondary reason for referral,"1, Blood pressure >=160 mmHg (systolic) | 2, Blood pressure >=100 mmHg (diastolic) | 3, Any blood glucose >=200 mg/dL | 4, ASCVD score >= 20% | 5, Ophthalmology: ""Glaucoma consultation"" and ""ophthalmic consultation"" are high risk; | 6, findings suggestive of risk | 7, Dermatology: lesions suspicious for malignancy or similar risk per the physician's recommendation | 8, Bone Density: Postmenopausal woman with a T-score < -2.5 | 9, Fail an objective test performed by PT AND (hx of 2 falls OR a hx of 1 fall with an injury) | 10, Mental Health: any failed test or positive screen (though not all positive screens will be high risk - this is based on | 11, Dental/-ENT: severe or concerning finding requiring urgent follow up | 12, Septin9 or FIT test positive (post-fair) | 13, Fulfills high risk criteria for CRC (eg. Positive family history, noticed blood in stool recently) | 14, HIV screening result (positive) | 15, Female exam: positive pregnancy/needs prenatal care, breast mass felt on exam, high suspicion for infection, any other | 16, Male exam: lesions suspicious for malignancy or similar risk per the physician's recommendation | 17, Positive Hep C | 18, BMI >=40 | 19, Other",,,,,,,,,,,,
other2,patient_navigation,,text,Other,,,,,,,[secondary_reason_for_refer] = '19',,,,,,
additional_reason_for_refe,patient_navigation,,text,Additional reason for referral?,,,,,,,,,,,,,
please_verify_patient_s_ph,patient_navigation,,text,Please verify patient's phone number,,,,,,,,,,,,,
is_there_an_alternate_phon,patient_navigation,,text,Is there an alternate phone number where we can reach you?,,,,,,,,,,,,,
please_verify_patient_s_em,patient_navigation,,text,Please verify patient's email address,,,,,,,,,,,,,
