field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
photo_consent_blurb,photo_consent,,descriptive,"I, [first_name] [last_name], authorize the University of Miami, Department of Community Service, to take still photographs, audio recordings, and/or video recordings of me/ (my child), and I authorize the release and publication of any protected health information or other identifying information in connection with such activity (as applicable), for use in any manner, as indicated below 

Publication(s) or other broadcast, promotional, advertising or commercial purposes: 

Medical Training, teaching, education, scientific meetings and scientific publications, including professional journals or medical books: 

I hereby release all claims, rights, and interests that I might have in such photography or audio or video recordings or use thereof. I agree that the University of Miami, its Trustees, officers, employees, students, faculty and agents will not be responsible for any claims arising in any way out of the taking and use as described above of such photographs and/or audio or video recordings, and that I will not receive any benefit from the use of such photographs and/or recordings. I understand that I will not have an opportunity to inspect and approve such photographs or recordings prior to their use, and that the University of Miami will be the owner of such photographs and/or recordings. I confirm that these photographs and/or recordings were taken with my knowledge and consent. ",,,,,,,,,,,,,
photo_consent_spanish,photo_consent,,descriptive,"Consentimiento de Foto

Yo, (NOMBRE DEL PACIENTE), autorizo ​​a la Universidad de Miami, Departamento de Servicio a la Comunidad, a tomar fotografías fijas, grabaciones de audio y / o grabaciones de video de mí / (mi hijo), y autorizo ​​la publicación y publicación de cualquier salud protegida información u otra información de identificación relacionada con dicha actividad (según corresponda), para su uso de cualquier manera, como se indica a continuación

Publicación (es) u otros fines de difusión, promoción, publicidad o comerciales:

Entrenamiento médico, enseñanza, educación, reuniones científicas y publicaciones científicas, incluidas revistas profesionales o libros de medicina:

Por la presente, libero todos los reclamos, derechos e intereses que pueda tener en dichas fotografías o grabaciones de audio o video, o el uso de las mismas. Acepto que la Universidad de Miami, sus fideicomisarios, funcionarios, empleados, estudiantes, profesores y agentes no serán responsables de los reclamos que surjan de la toma y el uso como se describe anteriormente de dichas fotografías y / o grabaciones de audio o video. , y que no recibiré ningún beneficio del uso de tales fotografías y / o grabaciones. Entiendo que no tendré la oportunidad de inspeccionar y aprobar dichas fotografías o grabaciones antes de su uso, y que la Universidad de Miami será la propietaria de dichas fotografías y / o grabaciones. Confirmo que estas fotografías y / o grabaciones fueron tomadas con mi conocimiento y consentimiento.",,,,,,,[language] = '2',,,,,,
photo_consent_creole,photo_consent,,descriptive,"Photo Konsantman

Mwen, (NON PASYAN), otorize Inivèsite Miami, Depatman Sèvis Kominotè, pou pran foto, anrejistreman odyo, ak / oswa anrejistreman videyo sou mwen / (pitit mwen an), epi mwen otorize pou divilge ak pibliye nenpòt ki sante pwoteje enfòmasyon oswa lòt enfòmasyon ki idantifye an koneksyon avèk aktivite sa yo (ki aplikab), pou itilize nan nenpòt fason, jan sa endike anba a

Piblikasyon (yo) oswa lòt difizyon, pwomosyon, piblisite oswa komèsyal:

Fòmasyon medikal, ansèyman, edikasyon, reyinyon syantifik ak piblikasyon syantifik, tankou jounal pwofesyonèl oswa liv medikal:

Mwen pibliye tout reklamasyon, dwa, ak enterè ke mwen ka gen nan fotografi oswa odyo oswa videyo anrejistreman oswa itilize ladan l. Mwen dakò ke University of Miami, administratè li yo, ofisye yo, anplwaye yo, elèv yo, fakilte ak ajan pa pral responsab pou nenpòt reklamasyon ki rive nan nenpòt fason soti nan pran ak itilize kòm dekri pi wo a nan foto sa yo ak / oswa anrejistreman odyo oswa videyo , e ke mwen pa pral resevwa okenn benefis nan itilize nan foto sa yo ak / oswa anrejistreman. Mwen konprann ke mwen pa pral gen yon opòtinite pou enspekte ak apwouve foto oswa anrejistreman anvan yo itilize yo, e ke University of Miami yo pral mèt kay la nan foto sa yo ak / oswa anrejistreman. Mwen konfime ke foto sa yo ak / oswa anrejistreman yo te pran ak konesans mwen ak konsantman mwen.",,,,,,,[language] = '3',,,,,,
location_of_activity,photo_consent,,descriptive,Fair Site: [fair_site],,,,,,,,,,,,,
date_of_visit,photo_consent,,descriptive,Date of Visit: [todays_date],,,,,,,,,,,,,
attendee,photo_consent,,descriptive,Attendee: [first_name] [last_name],,,,,,,,,,,,,
attendee_signature_chk,photo_consent,,checkbox,"Attendee Signature: By checking this box, you agree to the above consent.","1, I agree",,,,,,,,,,,,
attendee_signature,photo_consent,,text,Attendee Signature,,,,,,,'1'='0',,,,,,
witness_sig_photo_chk,photo_consent,,checkbox,"Witness (Student Volunteer) Signature: By checking this box, you agree to being a witness for the above consent","1, I agree",,,,,,,,,,,,
witness_signature_photo,photo_consent,,text,Witness (Student Volunteer) Signature,,,,,,,'1'='0',,,,,,
for_minors_representative,photo_consent,,text,For minors: representative/relationship,,,,,,,[age] <= 18,,,,,,
minor_s_date_of_birth,photo_consent,,descriptive,Minor's Date of Birth: [birthday],,,,,,,[age] <= 18,,,,,,
for_minors_sig_chk,photo_consent,,checkbox,"For minors: By checking this box, you agree to the above consent.","1, I agree",,,,,,[age] <= 18,,,,,,
for_minors_signature,photo_consent,,text,For minors signature,,,,,,,[age] <= 18,,,,,,
name_of_department_represe,photo_consent,,descriptive,"Name of Department Representative: Raysa Christodoulou
Department: Department of Community Service (DOCS)
Phone Number: 305-243-4898",,,,,,,,,,,,,@DEFAULT='Raysa Christodoulou'
