field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
pt_sum11,physical_therapy_evaluation,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Name:</span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;""> </span><span style=""font-weight: normal;"">[last_name] , [first_name]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">DOB: </span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080; font-weight: 400;"">[birthday]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Age:</span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;""> </span><span style=""font-weight: normal;"">[age]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Record_id: </span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080; font-weight: 400;"">[record_id]</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
physical_therapy_time_stam,physical_therapy_evaluation,,text,Balance and Strength Assessment Check-In Time,,,datetime_mdy,,,,,y,,,,,@NOW @READONLY
chronic_pain_medication,physical_therapy_evaluation,,yesno,Are you on chronic pain medication?,,,,,,,,y,,,,,
pt_resources,physical_therapy_evaluation,,yesno,Patient received education and resources,,,,,,,,,,,,,
pt_describe_resources,physical_therapy_evaluation,,notes,Describe what education/resources were provided,,,,,,,[pt_resources] = '1',,,,,,
timed_up_and_go_test_in_se,physical_therapy_evaluation,,text,"""Timed Up and Go Test"" (in seconds)",,,,,,,,,,,,,
feet_side_by_side,physical_therapy_evaluation,Four-Stage Balance test,radio,Feet side by side,"1, Pass | 2, Fail",,,,,,,,,,balance_test,,
feet_overlapped,physical_therapy_evaluation,,radio,Feet overlapped,"1, Pass | 2, Fail",,,,,,,,,,balance_test,,
feet_in_tandem,physical_therapy_evaluation,,radio,Feet in tandem,"1, Pass | 2, Fail",,,,,,,,,,balance_test,,
simple_leg_stance,physical_therapy_evaluation,,radio,Simple Leg Stance,"1, Pass | 2, Fail",,,,,,,,,,balance_test,,
second_chair_stand_test,physical_therapy_evaluation,,text,30 second Chair Stand Test,,,integer,,,,,,,,,,
chair_stand_referral,physical_therapy_evaluation,,yesno,30 Second Chair Stand Test Referral?,,,,,,,,,,,,,
high_risk_balance,physical_therapy_evaluation,,yesno,"Patient meets high risk criteria for falling/losing balance, assign patient navigator.

Select if patient failed any objective test performed by PT AND (history of two falls OR a history of 1 fall with an injury) ",,,,,,,,,,,,,
pt_chair_referral,physical_therapy_evaluation,,notes,"Comments for counseling at FDE

For example, if patient failed a portion of the ""Four-Stage Balance test"", ""Timed Up and Go Test"" or ""30 Second Chair Stand Test""",,,,,,,,y,,,,,
balance_and_strength_asses,physical_therapy_evaluation,,text,"Balance and Strength Assessment Checkout Time

Please click ""Now"".",,,datetime_mdy,,,,,y,,,,,
