field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
pt_sum_2,triage,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Name:</span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;""> </span><span style=""font-weight: normal;"">[last_name] , [first_name]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">DOB: </span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080; font-weight: 400;"">[birthday]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Age:</span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;""> </span><span style=""font-weight: normal;"">[age]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Record_id: </span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080; font-weight: 400;"">[record_id]</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
triage_intro,triage,,descriptive,"""We are going to ask you some questions to determine which stations you'll benefit most from.""

Note to volunteer: check yes to any station that the patient has expressed an interest in attending per the paper form.",,,,,,,,,,,,,
preferences,triage,,checkbox,"On the paper form, which of the stations did the patient indicate that he/she wanted to attend today?

If no paper form is filled out, please ask the patient if they would like to attend the following stations:","9, Point of Care - Glucose/ Lipids | 1, Audiology | 2, Dental | 3, Dermatology | 4, HIV/Hep C | 5, Memory Screening | 6, (only for males) Men's Health | 7, Ophthalmology | 8, (only for females) Women's Health",,,,,,,y,,,,,
fmx_diabetes,triage,Point of Care (POC) - Glucose and Lipids,yesno,"Do you have a first degree relative (parent, sibling, child) who has diabetes?",,,,,,,[age] < 40 AND ([race] = '1' OR [race] = '4' OR [race] = '8' OR [race] = '9'),y,,,,,
hx_gestational_diabetes,triage,,yesno,Do you have a history of gestational diabetes during any of your pregnancies?,,,,,,,[sex] = '2' AND [age] < 40 AND ([race] = '1' OR [race] = '4' OR [race] = '8' OR [race] = '9'),y,,,,,
hx_pcos,triage,,yesno,Do you have a history of PCOS (Polycystic ovarian syndrome)?,,,,,,,[sex] = '2' AND [age] < 40 AND ([race] = '1' OR [race] = '4' OR [race] = '8' OR [race] = '9'),y,,,,,
glucose_station,triage,,radio,"""Based on the information you provided, we recommend that you go to the ""Point of Care"" station to check your sugar and cholesterol.""

Click YES.","1, Yes",,,,,,[age] >= 40 or [race] = '2' or [race] = '3' or [race] = '5' or [race] = '6' or [race] = '7' or [fmx_diabetes] = '1' or [hx_gestational_diabetes] = '1' or [hx_pcos] = '1' or [preferences(9)] = '1',y,,,,,
ipss,triage,Men's Health,yesno,"In the past month, have you had any difficulties with urination? (weak stream, difficulty urinating, frequency, urgency, pain with urination, incomplete emptying)

Check 'Yes' if he says yes to any of the questions.",,,,,,,[sex] = '1' AND [preferences(6)] = '0',y,,,,,
male_exam_station,triage,,radio,"""Based on the information you provided, we recommend that you go to the ""Men's Health"" station.""

Click YES.","1, Yes",,,,,,[sex] = '1' AND [age] > 50 OR ([ipss] = '1' or [preferences(6)] = '1'),y,,,,,
female_exam_station,triage,Women's Health,radio,"""Based on the information you provided, we recommend that you go to the ""Women's Health"" station.""

Click YES.","1, Yes",,,,,,[sex] = '2' AND (([age] >= 21 AND [age] <= 65) or [preferences(8)] = '1'),y,,,,,
