field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
pt_sum3,vitals,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Name:</span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;""> </span><span style=""font-weight: normal;"">[last_name] , [first_name]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">DOB: </span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080; font-weight: 400;"">[birthday]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Age:</span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;""> </span><span style=""font-weight: normal;"">[age]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Record_id: </span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080; font-weight: 400;"">[record_id]</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
station_time_stamp,vitals,,text,Vitals Check-In Time,,,datetime_mdy,,,,,y,,,,,@NOW @READONLY
hx_hypertension,vitals,,yesno,"<div class=""rich-text-field-label""><p>Do you have a history of high blood pressure?</p></div>",,,,,,,[age] >= 18,y,,,,,
htn_medication,vitals,,yesno,"<div class=""rich-text-field-label""><p>Are you taking any medication for high blood pressure?</p></div>",,,,,,,[age] >= 18,y,,,,,
htn_med_list,vitals,,text,"<div class=""rich-text-field-label""><p>What medications do you take for blood pressure?</p></div>",,*List all anti-hypertensives separated by commas*,,,,,[htn_medication] = '1',,,,,,
heart_rate,vitals,,text,Heart Rate,,,number,,,,,y,,,,,
respiratory_rate,vitals,,text,Respiratory Rate (/min),,,number,,40,,,y,,,,,
blood_pressure_left_sys,vitals,Blood Pressure (Left Arm),text,Systolic Blood Pressure (Left Arm),,,number,30,350,,,y,,,,,
blood_pressure_left_di,vitals,,text,Diastolic Blood Pressure (Left Arm),,,number,30,350,,,y,,,,,
blood_pressure_right_sys,vitals,Blood Pressure Right Arm,text,Systolic Blood Pressure (Right Arm),,,number,30,350,,,y,,,,,
blood_pressure_right_di,vitals,,text,Diastolic Blood Pressure (Right Arm),,,number,30,350,,,y,,,,,
weight,vitals,,text,Weight (lbs),,,number,,,,,y,,,,,
height,vitals,,text,Height (in),,,number,,,,,y,,,,,
abdominal_girth,vitals,,text,Abdominal Girth (in),,,number,,,,,y,,,,,
bmi,vitals,,calc,BMI:,"round((([weight]/([height]*[height]))*703), 3)",,,,,,,,,,,,
counsel_vitals_autoflag,vitals,,yesno,"This patient meets high risk criteria, assign a patient navigator.
1) Systolic blood pressure >=160
OR
2) Diastolic blood pressure >=100",,,,,,,[blood_pressure_right_sys] >= 160 OR [blood_pressure_left_sys] >= 160 OR [blood_pressure_right_di] >= 100 OR [blood_pressure_left_di] >=100,y,,,,,
vitals_counsel,vitals,,notes,Comments for FDE,,,,,,,,y,,,,,
vitals_check_out_time,vitals,,text,"Vitals Check-Out Time

Please click ""Now"".",,,datetime_mdy,,,,,y,,,,,
