field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
pt_sum7,womens_health,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Name:</span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;""> </span><span style=""font-weight: normal;"">[last_name] , [first_name]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">DOB: </span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080; font-weight: 400;"">[birthday]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Age:</span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;""> </span><span style=""font-weight: normal;"">[age]</span></td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;""><span style=""color: #000080;"">Record_id: </span></td> <td style=""width: 50%; height: 17px;""><span style=""color: #000080; font-weight: 400;"">[record_id]</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
female_exam_time_stamp,womens_health,,text,Women's Health Check-In Time,,,datetime_mdy,,,,,y,,,,,@NOW @READONLY
gu_complaint_f_question,womens_health,,yesno,"<div class=""rich-text-field-label""><p>Any genitourinary complaints?</p> <p><span style=""font-weight: normal;"">Ask about:<br /></span></p> <ul> <li><span style=""font-weight: normal;"">pain with urination</span></li> <li><span style=""font-weight: normal;"">blood in the urine</span></li> <li><span style=""font-weight: normal;"">vaginal discharge</span></li> <li><span style=""font-weight: normal;"">heavy menstrual bleeding</span></li> <li><span style=""font-weight: normal;"">abnormally painful menstrual cramps</span></li> <li><span style=""font-weight: normal;"">infertility (inability to conceive > 6 months)</span></li> <li><span style=""font-weight: normal;"">pain with intercourse</span></li> <li><span style=""font-weight: normal;"">contraception concerns</span></li> <li><span style=""font-weight: normal;"">other</span></li> </ul></div>",,,,,,,[age] > 1000,,,,,,
gu_complaint_female,womens_health,,checkbox,"<div class=""rich-text-field-label""><p> </p> <p>Any genitourinary complaints?</p> <p><span style=""font-weight: normal;"">(Check any or all that apply)</span></p></div>","1, Dysuria (pain with urination) | 2, Hematuria (blood in urine) | 3, Vaginal discharge | 4, Heavy menstrual bleeding | 6, Dysmenorrhea (menstrual cramps) | 7, Infertility (inability to conceive > 6 months) | 8, Dyspareunia (pain with intercourse) | 9, Contraception concerns | 5, Other | 10, None",,,,,,,y,,,,,
genitourinary_elaborate,womens_health,,notes,"<div class=""rich-text-field-label""><p>Please elaborate:</p></div>",,,,,,,[gu_complaint_female(1)] = '1' or [gu_complaint_female(2)] = '1' or [gu_complaint_female(3)] = '1' or [gu_complaint_female(4)] = '1' or [gu_complaint_female(5)] = '1',,,,,,
nml_pap_3yrs_3,womens_health,,radio,"<div class=""rich-text-field-label""><p><span style=""background-color: #ffff00;"">THIS PATIENT HAS HAD A NORMAL PAP SMEAR IN THE LAST 3 YEARS AT THE SOUTH DADE HEALTH FAIR.</span></p> <p>Please confirm this with patient. </p></div>","1, Patient confirms | 2, Patient denies | 3, Patient refuses to answer",,,,,,"[20182019_arm_3][pap_smear_result] = ""1"" OR [20172018_arm_3][pap_smear_result] = ""1"" OR [20162017_arm_3][pap_smear_result] = ""1""",,,,,,
nml_pap_3yrs_1,womens_health,,radio,"<div class=""rich-text-field-label""><p><span style=""background-color: #ffff00;"">THIS PATIENT HAS HAD A NORMAL PAP SMEAR IN THE LAST 3 YEARS AT THE LITTLE HAITI HEALTH FAIR.</span></p> <p>Please confirm this with patient. </p></div>","1, Patient confirms | 2, Patient denies | 3, Patient refuses to answer",,,,,,"[20182019_arm_1][pap_smear_result] = ""1"" OR [20172018_arm_1][pap_smear_result] = ""1"" OR [20162017_arm_1][pap_smear_result] = ""1""",,,,,,
nml_pap_3yrs_2,womens_health,,radio,"<div class=""rich-text-field-label""><p><span style=""background-color: #ffff00;"">THIS PATIENT HAS HAD A NORMAL PAP SMEAR IN THE LAST 3 YEARS AT THE HIALEAH HEALTH FAIR.</span></p> <p>Please confirm this with patient. </p></div>","1, Patient confirms | 2, Patient denies | 3, Patient refuses to answer",,,,,,"[20182019_arm_2][pap_smear_result] = ""1"" OR [20172018_arm_2][pap_smear_result] = ""1"" OR [20162017_arm_2][pap_smear_result] = ""1""",,,,,,
nml_pap_3yrs_4,womens_health,,radio,"<div class=""rich-text-field-label""><p><span style=""background-color: #ffff00;"">THIS PATIENT HAS HAD A NORMAL PAP SMEAR IN THE LAST 3 YEARS AT THE UPPER KEYS HEALTH FAIR.</span></p> <p>Please confirm this with patient. </p></div>","1, Patient confirms | 2, Patient denies | 3, Patient refuses to answer",,,,,,"[20182019_arm_4][pap_smear_result] = ""1"" OR [20172018_arm_4][pap_smear_result] = ""1"" OR [20162017_arm_4][pap_smear_result] = ""1""",,,,,,
nml_pap_3yrs_5,womens_health,,radio,"<div class=""rich-text-field-label""><p><span style=""background-color: #ffff00;"">THIS PATIENT HAS HAD A NORMAL PAP SMEAR IN THE LAST 3 YEARS AT THE MARATHON HEALTH FAIR.</span></p> <p>Please confirm this with patient. </p></div>","1, Patient confirms | 2, Patient denies | 3, Patient refuses to answer",,,,,,"[20182019_arm_5][pap_smear_result] = ""1"" OR [20172018_arm_5][pap_smear_result] = ""1"" OR [20162017_arm_5][pap_smear_result] = ""1""",,,,,,
